"연령대별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령대별(1)",총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종
"연령대별(1)",소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자
"70세",236364,141450,20123,121303,-,19,3,2,94914,87175,121,7618,242273,149814,22190,127592,-,29,3,-,92459,85655,103,6701,234163,147544,22302,125209,0,23,10,0,86619,80663,127,5829,340172,216002,32806,183164,0,22,7,3,124170,117518,156,6496
"71세",221793,130311,18345,111945,-,18,2,1,91482,83441,134,7907,229580,137302,19516,117764,-,17,3,2,92278,84767,124,7387,235866,145748,21584,124131,0,29,4,0,90118,83557,105,6456,227006,142501,21587,120884,0,19,11,0,84505,78764,124,5617
"72세",207821,118386,16193,102175,-,15,2,1,89435,80570,128,8737,213970,125739,17643,108078,-,15,2,1,88231,80476,134,7621,222111,133013,18904,114086,0,17,4,2,89098,81942,120,7036,227241,139784,20855,118896,0,28,5,0,87457,81150,101,6206
"73세",158179,88007,12158,75839,-,7,-,3,70172,62832,102,7238,199341,113466,15445,98002,-,15,3,1,85875,77375,122,8378,205562,121014,16976,104020,0,15,2,1,84548,77249,133,7166,212387,126538,18095,108422,0,14,5,2,85849,79057,120,6672
"74세",128492,69592,9769,59817,-,3,-,3,58900,51787,82,7031,150848,83854,11556,72290,-,5,-,3,66994,59960,97,6937,190245,108514,14756,93743,0,12,2,1,81731,73796,110,7825,195311,114315,16159,98140,0,13,2,1,80996,74114,126,6756
"75세",122507,63652,9359,54282,-,11,-,-,58855,50408,79,8368,121235,65550,9197,56348,-,2,-,3,55685,48921,77,6687,142023,78767,10799,67960,0,5,0,3,63256,56715,85,6456,179050,101649,13852,87783,0,11,2,1,77401,69973,100,7328
"76세",110257,54039,7676,46359,-,2,2,-,56218,47102,92,9024,114058,59264,8740,50513,-,11,-,-,54794,46810,78,7906,112428,59036,8129,50902,0,1,1,3,53392,47038,76,6278,131898,72551,9984,62560,0,4,0,3,59347,53305,84,5958
"77세",120349,56239,8057,48171,1,8,2,-,64110,51610,106,12394,101588,49726,7086,42636,-,2,2,-,51862,43266,87,8509,104247,52527,7522,44997,0,8,0,0,51720,44304,71,7345,104140,54984,7656,47322,0,1,2,3,49156,43397,71,5688
"78세",90317,39779,5566,34208,-,4,1,-,50538,40198,62,10278,109370,50771,7282,43479,1,7,2,-,58599,46913,103,11583,92550,44367,6208,38155,0,2,2,0,48183,40245,77,7861,94589,47826,6866,40952,0,8,0,0,46763,40225,68,6470
"79세",70857,28929,4114,24806,3,6,-,-,41928,32779,38,9111,81295,35470,4929,30537,-,3,1,-,45825,36237,56,9532,98557,45016,6274,38735,0,5,2,0,53541,42904,95,10542,81678,38732,5409,33320,0,2,1,0,42946,36002,65,6879
